LSOA21CD,maximum_p90_passengers,maximum_p90_capacity_pct,median_p90_capacity_pct,maximum_p90_pmd_tkm,median_p90_pmd_tkm,LSOA21NM,demand_occurrence,demand_occurrence_z,health_vulnerability_z,health_demand_gap,higher_health,lower_demand,health_demand_group,health_demand_divergence,highest_loading_direction,highest_loading_period,highest_loading_p90_passengers,highest_loading_capacity_pct,pmd_under_highest_loading_condition,higher_operational_pressure,higher_pmd_burden,planning_context
E01005916,62.400000000000006,62.40000000000001,24.5,1.603815033600004,0.5806818860000007,Stockport 007C,0.5870418848167539,0.23570830078001814,0.005395482110191774,-0.23031281866982636,True,True,A. Higher health vulnerability + Lower demand,True,Manchester to Hazel Grove,AM peak,62.400000000000006,62.40000000000001,1.603815033600004,True,True,Equity-sensitive + operational review
E01005917,60.0,60.0,25.0,1.073671379999999,0.47984528099999985,Stockport 007D,0.5525196335078534,-0.009295868363218931,0.6687396148815643,0.6780354832447832,True,True,A. Higher health vulnerability + Lower demand,True,Manchester to Hazel Grove,AM peak,60.0,60.0,1.073671379999999,True,True,Equity-sensitive + operational review
E01033653,6.0,6.0,5.0,0.16026729599999998,0.13355608,Manchester 055B,0.36780104712041883,-1.320242346859497,-0.7808812689959707,0.5393610778635264,False,True,C. Lower health vulnerability + Lower demand,False,Manchester to Hazel Grove,AM peak,6.0,6.0,0.16026729599999998,False,False,Lower immediate combined priority
E01033654,33.0,33.0,15.5,0.682958952,0.41332600479999987,Manchester 055C,0.5606159895150721,0.048163911964753225,-1.888996937807927,-1.9371608497726802,False,True,C. Lower health vulnerability + Lower demand,False,Hazel Grove to Manchester,Night/Early morning off-peak,33.0,33.0,0.682958952,False,False,Lower immediate combined priority
E01033661,11.0,11.0,8.5,0.12576273599999996,0.09718029599999997,Manchester 055E,0.762402088772846,1.480238406496906,-0.5428969195228874,-2.0231353260197933,False,False,D. Lower health vulnerability + Higher demand,False,Manchester to Hazel Grove,PM interpeak,11.0,11.0,0.12576273599999996,False,False,Demand-led service monitoring
E01033947,56.70000000000002,56.70000000000002,32.5,1.4155989623999952,0.811410339999997,Stockport 014E,0.42370744010088274,-0.9234750781372968,1.4681669865449734,2.3916420646822703,True,True,A. Higher health vulnerability + Lower demand,True,Manchester to Hazel Grove,AM peak,56.70000000000002,56.70000000000002,1.4155989623999952,False,True,Equity/accessibility investigation
E01033948,50.0,50.0,31.099999999999994,1.0166680000000015,0.6237798916000011,Stockport 014F,0.3766519823788546,-1.2574273230150192,3.6614967003459356,4.918924023360955,True,True,A. Higher health vulnerability + Lower demand,True,Manchester to Hazel Grove,AM peak,50.0,50.0,1.0166680000000015,False,False,Equity/accessibility investigation
E01034119,36.5,36.5,23.5,0.4821874559999994,0.3045817375999994,Manchester 022H,0.5400262467191601,-0.09796134450960575,0.27871374304648167,0.3766750875560874,True,True,A. Higher health vulnerability + Lower demand,True,Hazel Grove to Manchester,Night/Early morning off-peak,36.5,36.5,0.4821874559999994,False,False,Equity/accessibility investigation
E01034137,63.0,63.0,34.5,1.4328633940000017,0.8073402917999999,Manchester 063C,0.7069190600522193,1.0864757508805611,-0.5567163823509759,-1.643192133231537,False,False,D. Lower health vulnerability + Higher demand,False,Manchester to Hazel Grove,AM peak,63.0,63.0,1.4328633940000017,True,True,Operational capacity / reliability priority
E01034138,68.10000000000001,68.10000000000002,36.4,0.8559292871999993,0.4575011167999996,Manchester 064B,0.737597911227154,1.3042033369272457,-0.5663212297546266,-1.8705245666818722,False,False,D. Lower health vulnerability + Higher demand,False,Manchester to Hazel Grove,AM peak,68.10000000000001,68.10000000000002,0.8559292871999993,True,False,Operational capacity / reliability priority
