LSOA21CD,LSOA21NM,demand_occurrence,scheduled_stop_visits,positive_demand_visits,unique_stops,unique_trips,poor_general_health_rate,activity_limiting_disability_rate,health_deprivation_disability_score_2025,poor_general_health_rate_z,activity_limiting_disability_rate_z,health_deprivation_disability_score_2025_z,health_composite_raw,health_vulnerability_z,health_census_raw,health_census_only_z,health_iod_only_z,demand_occurrence_z,health_demand_gap,lower_demand,higher_health,health_demand_group,health_demand_divergence
E01005239,Manchester 020E,0.7684943429068756,2298,1766,3,766,0.0871254162042175,0.212978369384359,1.669,1.6870904547244339,0.8055627956599792,1.3671101633062925,1.2865878045635686,1.4510127681388134,1.2463266251922065,1.2883598824951832,1.3671101633062925,1.5234750902508576,-0.07246232211204418,False,True,B. Higher health vulnerability + Higher demand,False
E01005760,Stockport 023B,0.6650485436893204,618,411,1,618,0.0585492227979275,0.177777777777778,0.977,0.06879547452558901,-0.03731671913547473,0.2144838250585506,0.08198752681622162,0.09246547170468157,0.015739377695057143,0.01627019947088437,0.2144838250585506,0.7893209975216597,-0.6968555258169782,False,True,B. Higher health vulnerability + Higher demand,False
E01005766,Stockport 014C,0.6197879858657244,1415,877,3,737,0.0713884204609331,0.231330713082538,1.379,0.7958905369228529,1.2450103687169198,0.8840731140406203,0.9749913398934643,1.0995945072634077,1.0204504528198863,1.0548658745731547,0.8840731140406203,0.46810714430836653,0.6314873629550412,False,True,B. Higher health vulnerability + Higher demand,False
E01005797,Stockport 023C,0.662891046386192,1854,1229,3,618,0.050105857445307,0.193069306930693,0.8419999999999999,-0.4093597357174591,0.32883953235433977,-0.010378249599607332,-0.030299484320908884,-0.03417173585954679,-0.04026010168155966,-0.04161790242080311,-0.010378249599607332,0.7740092546850774,-0.8081809905446242,False,True,B. Higher health vulnerability + Higher demand,False
E01005798,Stockport 027A,0.6456310679611651,1236,798,2,618,0.0773918342474101,0.24405125076266,0.6059999999999999,1.1358691427708172,1.5496041308784054,-0.4034704690020164,0.7606676015490687,0.8578803547198492,1.3427366368246112,1.3880213907606658,-0.4034704690020164,0.6515153119924217,0.2063650427274275,False,True,B. Higher health vulnerability + Higher demand,False
E01005801,Stockport 027B,0.6153846153846154,2691,1656,5,837,0.0483069977426637,0.150518251464624,0.4189999999999999,-0.511230743709338,-0.6900471212031931,-0.7149460835285015,-0.6387413161470109,-0.7203719808159507,-0.6006389324562655,-0.6208959102691447,-0.7149460835285015,0.43685645568726245,-1.157228436503213,False,False,D. Lower health vulnerability + Higher demand,False
E01005822,Stockport 016D,0.6476063829787234,752,487,3,678,0.0890880337374802,0.232631578947368,1.405,1.7982352127743344,1.2761596516953595,0.9273798839747841,1.3339249161481594,1.5043995273420478,1.537197432234847,1.5890405156517944,0.9273798839747841,0.6655341084591592,0.8388654188828887,False,True,B. Higher health vulnerability + Higher demand,False
E01005825,Stockport 019A,0.26366559485530544,1866,492,3,622,0.0513126491646778,0.171837708830549,0.216,-0.3410180586495321,-0.17955189768161836,-1.053072018014472,-0.524547324781874,-0.5915840823702989,-0.2602849781655752,-0.2690632753135205,-1.053072018014472,-2.0592909023049937,1.4677068199346948,True,False,C. Lower health vulnerability + Lower demand,False
E01005830,Stockport 027E,0.24758842443729903,622,154,1,622,0.0467836257309941,0.174025974025974,-0.044,-0.5975006413269013,-0.12715380372973217,-1.486139717356109,-0.7369313874709142,-0.8311106701538108,-0.36232722252831673,-0.37454696738858284,-1.486139717356109,-2.1733904650824174,1.3422797949286065,True,False,C. Lower health vulnerability + Lower demand,False
E01005831,Stockport 027F,0.29508196721311475,1647,486,3,622,0.0443768996960486,0.157734470158343,0.3649999999999999,-0.733795654651135,-0.5172544880793054,-0.8048909133917646,-0.6853136853740684,-0.7728962641576997,-0.6255250713652203,-0.6466213520212658,-0.8048909133917646,-1.836329133730093,1.0634328695723934,True,False,C. Lower health vulnerability + Lower demand,False
E01005836,Stockport 031B,0.46064623032311514,1207,556,3,804,0.0616475722858702,0.205128205128205,0.076,0.24425773263501502,0.6175903117527872,-1.2862623176599688,-0.1414714244240555,-0.1595513671418041,0.43092402219390114,0.44545724321059615,-1.2862623176599688,-0.6613207497137311,0.501769382571927,True,True,A. Higher health vulnerability + Lower demand,True
E01005838,Stockport 031C,0.5541044776119403,1608,891,4,804,0.0466292134831461,0.166105499438833,0.3649999999999999,-0.6062451428082859,-0.31680987120647924,-0.8048909133917646,-0.5759819758021766,-0.6495920434985637,-0.46152750700738254,-0.47709285244919286,-0.8048909133917646,0.001951758840145242,-0.6515438023387089,True,False,C. Lower health vulnerability + Lower demand,False
E01005840,Stockport 031D,0.6091286307053941,1205,734,3,804,0.0561797752808989,0.17654398003743,0.467,-0.06538842352319657,-0.0668600533033538,-0.6349951236500452,-0.25574786682553186,-0.2884322538048559,-0.0661242384132752,-0.0683543256721105,-0.6349951236500452,0.39245777743216675,-0.6808900312370226,False,True,B. Higher health vulnerability + Higher demand,False
E01005841,Stockport 035D,0.3843283582089552,804,309,1,804,0.0487144790257104,0.17027027027027,0.137,-0.4881547200590253,-0.2170842740668108,-1.1846579728144309,-0.6299656556467557,-0.7104747974371286,-0.35261949706291806,-0.3645118419350384,-1.1846579728144309,-1.202948138982194,0.4924733415450655,True,False,C. Lower health vulnerability + Lower demand,False
E01005863,Stockport 006A,0.5804973821989529,1528,887,2,1528,0.0390215492137449,0.151832460732984,-0.126,-1.0370738652755747,-0.6585783299159501,-1.6227226071484715,-1.1061249341133321,-1.2474868771973098,-0.8478260975957623,-0.8764196394395186,-1.6227226071484715,0.18926201279077892,-1.4367488899880887,True,False,C. Lower health vulnerability + Lower demand,False
E01005866,Stockport 006C,0.5741710296684118,4584,2632,6,1528,0.048532055122828,0.159976033553026,0.313,-0.4984855462158038,-0.463580166703967,-0.8915044532600919,-0.6178567220599542,-0.6968183511528784,-0.4810328564598854,-0.4972560337699631,-0.8915044532600919,0.1443639344011808,-0.8411822855540592,True,False,C. Lower health vulnerability + Lower demand,False
E01005869,Stockport 006D,0.612892670157068,3056,1873,4,1528,0.0583804143126177,0.198995605775267,-0.045,0.05923570144777639,0.47074498526478264,-1.4878053623535767,-0.31927489188033925,-0.36007798536661917,0.2649903433562795,0.27392733231242977,-1.4878053623535767,0.41917113833751335,-0.7792491237041326,False,False,D. Lower health vulnerability + Higher demand,False
